1d100,Descriptors 1,Descriptors 2,Actions 1,Actions 2,EventFocus,Special Elements,Character Special Traits,Character Identity,Character Descriptors,Default Adventure Characters List,Default Adventures Plotlines List,Cthulhu Occupations,Cthulhu Elements,Enemies
11,Busily,Cold,Neglect,Environment,NPC Action,"REMOVE ELEMENT: Roll in the Category again (if you get Special again, treat it as Expected), and cross that Element out and remove it from the Category list. You will still use it for this Scene, but the Category list has now been altered for future rolls. If the Element is Unique, then this result has no effect (as Unique Elements are crossed off anyway).
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Journalist,Symbol,
12,Calmly,Colorful,Judge,Balance,NPC Action,"REMOVE ELEMENT: Roll in the Category again (if you get Special again, treat it as Expected), and cross that Element out and remove it from the Category list. You will still use it for this Scene, but the Category list has now been altered for future rolls. If the Element is Unique, then this result has no effect (as Unique Elements are crossed off anyway).
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Military,Elder Sign,
13,Carefully,Creepy,Imprison,Competition,NPC Action,"REMOVE ELEMENT: Roll in the Category again (if you get Special again, treat it as Expected), and cross that Element out and remove it from the Category list. You will still use it for this Scene, but the Category list has now been altered for future rolls. If the Element is Unique, then this result has no effect (as Unique Elements are crossed off anyway).
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,Choose most logical Character,Choose most logical Plotline,Nurse,Britle,
14,Carelessly,Cute,Ambush,Power,NPC Action,"REMOVE ELEMENT: Roll in the Category again (if you get Special again, treat it as Expected), and cross that Element out and remove it from the Category list. You will still use it for this Scene, but the Category list has now been altered for future rolls. If the Element is Unique, then this result has no effect (as Unique Elements are crossed off anyway).
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,Choose most logical Character,Choose most logical Plotline,Parapsychologist,Bas-relief,
15,Cautiously,Damaged,Assist,Riches,NPC Action,"REMOVE ELEMENT: Roll in the Category again (if you get Special again, treat it as Expected), and cross that Element out and remove it from the Category list. You will still use it for this Scene, but the Category list has now been altered for future rolls. If the Element is Unique, then this result has no effect (as Unique Elements are crossed off anyway).
","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,Choose most logical Character,Choose most logical Plotline,Pilot,Drawing,
16,Ceaselessly,Dark,Fight,Outside,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,Choose most logical Character,Choose most logical Plotline,Police Detective,Note,
17,Cheerfully,Defeated,Desert,Tension,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Private Investigator,Deceased relative,
18,Combatively,Delicate,Release,Prison,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Professor,Case,
19,Coolly,Delightful,Spy,Burden,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,Scientist,Box,
20,Crazily,Dirty,Care,Normal,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,Choose most logical Plotline,,Locked,
21,Curiously,Disagreeable,Recruit,Inside,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Roll for two Descriptors,New Character,New Plotline,,Scribble,
22,Daintily,Disgusting,Dominate,Friendship,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Ugly,New Character,New Plotline,,,
23,Dangerously,Drab,Celebrate,Illness,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Beautiful,New Character,New Plotline,,,
24,Defiantly,Dry,Attach,Intrigues,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Foul,New Character,New Plotline,,,
25,Deliberately,Dull,Negligence,Technology,NPC Action,"ADD ELEMENT: Add a new Element to this Category, tacking it on to the end of the list. Generate the new Element by treating it like a Random E    lement and rolling for a description of it on the Complex Question Description Tables. The new Element is then added to the Category list and     is treated as though it was rolled for this scene. This is identical to a Random Element Special result (see below), except that the Element g    enerated is added to the Category list to possibly be encountered again later.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Sweet,New Character,Choose most logical Plotline,,,
26,Delightfully,Empty,Triumph,Reality,NPC Action,"THIS IS BAD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is bad for the characters. F    or instance, if it’s an Encounter, it is probably something that is harmful to the characters. If it’s a Location, maybe the place is very dar    k and treacherous. If it’s an Object, maybe it’s unstable and about to explode. Not everything is dangerous, it could just be finding an other    wise useful Object that is broken. Go with whatever modification to the Element seems most obvious to you. If you’re not sure how to make the     Element bad, then roll on a Complex Question Table for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Unusual,New Character,Choose most logical Plotline,,,
27,Dimly,Enormous,Procrastinate,Physical,NPC Action,"THIS IS BAD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is bad for the characters. F    or instance, if it’s an Encounter, it is probably something that is harmful to the characters. If it’s a Location, maybe the place is very dar    k and treacherous. If it’s an Object, maybe it’s unstable and about to explode. Not everything is dangerous, it could just be finding an other    wise useful Object that is broken. Go with whatever modification to the Element seems most obvious to you. If you’re not sure how to make the     Element bad, then roll on a Complex Question Table for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Common,New Character,Choose most logical Plotline,,,
28,Efficiently,Exotic,Develop,Food,NPC Action,"THIS IS BAD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is bad for the characters. F    or instance, if it’s an Encounter, it is probably something that is harmful to the characters. If it’s a Location, maybe the place is very dar    k and treacherous. If it’s an Object, maybe it’s unstable and about to explode. Not everything is dangerous, it could just be finding an other    wise useful Object that is broken. Go with whatever modification to the Element seems most obvious to you. If you’re not sure how to make the     Element bad, then roll on a Complex Question Table for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Intelligent,New Character,Choose most logical Plotline,,,
29,Energetically,Faded,Carry,Fears,Introduce New NPC,"THIS IS BAD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is bad for the characters. F    or instance, if it’s an Encounter, it is probably something that is harmful to the characters. If it’s a Location, maybe the place is very dar    k and treacherous. If it’s an Object, maybe it’s unstable and about to explode. Not everything is dangerous, it could just be finding an other    wise useful Object that is broken. Go with whatever modification to the Element seems most obvious to you. If you’re not sure how to make the     Element bad, then roll on a Complex Question Table for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Ignorant,Choose most logical Character,Choose most logical Plotline,,,
30,Enormously,Familiar,Passion,Hope,Introduce New NPC,"THIS IS BAD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is bad for the characters. F    or instance, if it’s an Encounter, it is probably something that is harmful to the characters. If it’s a Location, maybe the place is very dar    k and treacherous. If it’s an Object, maybe it’s unstable and about to explode. Not everything is dangerous, it could just be finding an other    wise useful Object that is broken. Go with whatever modification to the Element seems most obvious to you. If you’re not sure how to make the     Element bad, then roll on a Complex Question Table for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Educated,Choose most logical Character,Choose most logical Plotline,,,
31,Enthusiastically,Fancy,Violate,Allies,Introduce New NPC,"THIS IS GOOD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is something good for the c    haracters. Whether it’s a Location, Encounter, or Object, it is an Element that will be helpful or useful to the characters. Go with whatever     modification to the Element seems most obvious to you. If you’re not sure how to make the Element good, then roll on a Complex Question Table     for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Skilled,Choose most logical Character,Choose most logical Plotline,,,
32,Excitedly,Fat,Praise,Project,Introduce New NPC,"THIS IS GOOD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is something good for the c    haracters. Whether it’s a Location, Encounter, or Object, it is an Element that will be helpful or useful to the characters. Go with whatever     modification to the Element seems most obvious to you. If you’re not sure how to make the Element good, then roll on a Complex Question Table     for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Trained,Choose most logical Character,Choose most logical Plotline,,,
33,Fearfully,Feeble,Travel,Attention,Introduce New NPC,"THIS IS GOOD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is something good for the c    haracters. Whether it’s a Location, Encounter, or Object, it is an Element that will be helpful or useful to the characters. Go with whatever     modification to the Element seems most obvious to you. If you’re not sure how to make the Element good, then roll on a Complex Question Table     for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Roll for two Identities,Rude,New Character,Choose most logical Plotline,,,
34,Ferociously,Feminine,Open,Ambush,Introduce New NPC,"THIS IS GOOD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is something good for the c    haracters. Whether it’s a Location, Encounter, or Object, it is an Element that will be helpful or useful to the characters. Go with whatever     modification to the Element seems most obvious to you. If you’re not sure how to make the Element good, then roll on a Complex Question Table     for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Warrior,Polite,New Character,Choose most logical Plotline,,,
35,Fiercely,Festive,Work,Magic,Introduce New NPC,"THIS IS GOOD: Roll in the Category again (if you get Special again, treat it as Expected). Whatever you get, it is something good for the c    haracters. Whether it’s a Location, Encounter, or Object, it is an Element that will be helpful or useful to the characters. Go with whatever     modification to the Element seems most obvious to you. If you’re not sure how to make the Element good, then roll on a Complex Question Table     for inspiration.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Healer,Fancy,New Character,Choose most logical Plotline,,,
36,Foolishly,Flawless,Oppose,Enemies,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Protector,Rough,New Character,Choose most logical Plotline,,,
37,Fortunately,Fresh,Separate,Pleasures,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Assistant,Dirty,New Character,New Plotline,,,
38,Frantically,Full,Block,Success,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Dependent,Clean,New Character,New Plotline,,,
39,Freely,Glorious,Carelessness,Rumor,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Ruler,Wealthy,New Character,New Plotline,,,
40,Frighteningly,Good,Control,Illusions,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Administrator,Poor,New Character,New Plotline,,,
41,Fully,Graceful,Malice,Evil,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Victim,Small,New Character,Choose most logical Plotline,,,
42,Generously,Hard,Take,Pain,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Scholar,Large,New Character,Choose most logical Plotline,,,
43,Gently,Harsh,Harm,Failure,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Expert,Quiet,New Character,Choose most logical Plotline,,,
44,Gladly,Healthy,Ruin,Wounds,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Elite,Loud,New Character,Choose most logical Plotline,,,
45,Gracefully,Heavy,Attract,Portals,Move Toward a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Investigator,Fast,Choose most logical Character,Choose most logical Plotline,,,
46,Gratefully,Historical,Communicate,Good,Move Away from a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Criminal,Slow,Choose most logical Character,Choose most logical Plotline,,,
47,Happily,Horrible,Break,Possessions,Move Away from a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Supporter,Exotic,Choose most logical Character,Choose most logical Plotline,,,
48,Hastily,Important,Debase,Travel,Move Away from a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Helpless,Uniformed,Choose most logical Character,Choose most logical Plotline,,,
49,Healthily,Interesting,Extravagance,Extravagance,Move Away from a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Outsider,Interesting,New Character,Choose most logical Plotline,,,
50,Helpfully,Juvenile,Failure,Danger,Move Away from a Thread,"MULTI-ELEMENT: Roll twice on this Category list (if you get Special Element again, treat it as an Expected Element), and allow both of them     into the scene together. If the Category is Location, and the Elements are “pool” and “stony chamber,” maybe this is a chamber with an ornate     fountain in it.","THE CHARACTER IS AN INDIVIDUAL: The Character is an individual, as opposed to an organization or object.",Mediator,Colorful,New Character,Choose most logical Plotline,,,
51,Helplessly,Lacking,Persecute,Emotions,Move Away from a Thread,"EXIT HERE: This Location, in addition to whatever else it contains, also holds an exit from the Region, if this is possible. Maybe it’s a b    ack door out of the mansion, or another exit from the cave. If this result makes no sense, ignore it and treat this as an Expected Element.","THE CHARACTER IS AN ORGANIZATION: This Character is not a specific individual, but an organization or community. General members of this organization are considered part of the Character as a community.",Entertainer,Informative,New Character,Choose most logical Plotline,,,
52,Hopelessly,Lame,Heal,Benefits,Move Away from a Thread,"EXIT HERE: This Location, in addition to whatever else it contains, also holds an exit from the Region, if this is possible. Maybe it’s a b    ack door out of the mansion, or another exit from the cave. If this result makes no sense, ignore it and treat this as an Expected Element.","THE CHARACTER IS AN ORGANIZATION: This Character is not a specific individual, but an organization or community. General members of this organization are considered part of the Character as a community.",Socialite,Dangerous,New Character,Choose most logical Plotline,,,
53,Innocently,Large,Overindulge,Jealousy,Close a Thread,"EXIT HERE: This Location, in addition to whatever else it contains, also holds an exit from the Region, if this is possible. Maybe it’s a b    ack door out of the mansion, or another exit from the cave. If this result makes no sense, ignore it and treat this as an Expected Element.","THE CHARACTER IS AN ORGANIZATION: This Character is not a specific individual, but an organization or community. General members of this organization are considered part of the Character as a community.",Athlete,Inept,Choose most logical Character,New Plotline,,,
54,Intensely,Lavish,Trick,Representative,Close a Thread,"EXIT HERE: This Location, in addition to whatever else it contains, also holds an exit from the Region, if this is possible. Maybe it’s a b    ack door out of the mansion, or another exit from the cave. If this result makes no sense, ignore it and treat this as an Expected Element.","THE CHARACTER IS AN ORGANIZATION: This Character is not a specific individual, but an organization or community. General members of this organization are considered part of the Character as a community.",Performer,Clumsy,Choose most logical Character,New Plotline,,,
55,Interestingly,Lean,Pursue,Weapons,Close a Thread,"EXIT HERE: This Location, in addition to whatever else it contains, also holds an exit from the Region, if this is possible. Maybe it’s a b    ack door out of the mansion, or another exit from the cave. If this result makes no sense, ignore it and treat this as an Expected Element.","THE CHARACTER IS AN ORGANIZATION: This Character is not a specific individual, but an organization or community. General members of this organization are considered part of the Character as a community.",Representative,Capable,Choose most logical Character,New Plotline,,,
56,Irritatingly,Less,Increase,Opposition,PC Negative,"EXIT HERE: This Location, in addition to whatever else it contains, also holds an exit from the Region, if this is possible. Maybe it’s a b    ack door out of the mansion, or another exit from the cave. If this result makes no sense, ignore it and treat this as an Expected Element.","THE CHARACTER IS AN ORGANIZATION: This Character is not a specific individual, but an organization or community. General members of this organization are considered part of the Character as a community.",Merchant,Intrusive,Choose most logical Character,New Plotline,,,
